sentence,course,program
"First law, second law, phase change and energy analysis for aerospace-relevant applications.",AERO-299,Aerospace Engineering
"Entropy and exergy, cycle analysis (Rankine, Brayton, turbojets and turbofans).",AERO-299,Aerospace Engineering
Effects of the propulsion subsystem on spacecraft design.,AERO-402,Aerospace Engineering
Introduction to air breathing propulsion systems.,AERO-402,Aerospace Engineering
"Topics include basic rocket performance, monopropellant thrusters, bipropellant thrusters, electric thrusters, thruster placement, plumbing, tank sizing and design, system layout, component design, and systems integration.",AERO-402,Aerospace Engineering
Types of failure.,AERO-535,Aerospace Engineering
Theories of failure.,AERO-535,Aerospace Engineering
Stability of structures.,AERO-535,Aerospace Engineering
Advanced flight vehicle and fracture mechanics analysis and design.,AERO-535,Aerospace Engineering
Fundamentals and applications of modern fatigue analysis in the aerospace industry.,AERO-535,Aerospace Engineering
Design of selected components and preparation of necessary drawings.,AERO-449,Aerospace Engineering
Numerical optimization applied to the design of complex systems.,AERO-517,Aerospace Engineering
"Multi-criteria decision making, unconstrained and constrained optimization methods, system sensitivity analysis, system decomposition techniques, and multidisciplinary design optimization.",AERO-517,Aerospace Engineering
"Plasma applications in aerospace technology and operations including hypersonics, space weather, shielding, stealth, communications, power, and aerodynamics.",AERO-408,Aerospace Engineering
Computational modelling of plasma and plasma theory.,AERO-408,Aerospace Engineering
Advanced control theory techniques.,AERO-553,Aerospace Engineering
Analytical and computational methods applied to dynamic systems.,AERO-553,Aerospace Engineering
"State space system representation, solutions to dynamic systems, non-linear and linear stability analysis, full-state and output feedback, controllability and observability and advanced control topics (LQR/LQG, Kalman Filters, Adaptive Control, etc.).",AERO-553,Aerospace Engineering
Fundamentals of particle and rigid body dynamics as they apply to aerospace vehicles.,AERO-519,Aerospace Engineering
Kinematic variables and coordinate transformations.,AERO-519,Aerospace Engineering
Attitude dynamics.,AERO-519,Aerospace Engineering
Fundamentals of feedback control and its application to aerospace systems.,AERO-519,Aerospace Engineering
Stability analysis.,AERO-519,Aerospace Engineering
Numerical simulation.,AERO-519,Aerospace Engineering
Fundamentals of propeller and jet aircraft performance.,AERO-425,Aerospace Engineering
Steady and accelerated flight.,AERO-425,Aerospace Engineering
Equations of motion.,AERO-425,Aerospace Engineering
"Level flight, gliding, climbing, driftdown.",AERO-425,Aerospace Engineering
Takeoff and landing.,AERO-425,Aerospace Engineering
Federal Aviation Regulations (FARs).,AERO-425,Aerospace Engineering
Range and endurance.,AERO-425,Aerospace Engineering
Payload-range diagram.,AERO-425,Aerospace Engineering
Maneuvering.,AERO-425,Aerospace Engineering
V-n diagram.,AERO-425,Aerospace Engineering
Turning and pull-ups.,AERO-425,Aerospace Engineering
Stall and spin behavior.,AERO-425,Aerospace Engineering
Energy methods.,AERO-425,Aerospace Engineering
Employing the knowledge of stress analysis and aerospace structural analysis in an individual and group design project dealing with aerospace structures.,AERO-433,Aerospace Engineering
Taylor series.,AERO-435,Aerospace Engineering
Finite difference calculus.,AERO-435,Aerospace Engineering
Interpolation and extrapolation.,AERO-435,Aerospace Engineering
Finite difference method.,AERO-435,Aerospace Engineering
Basic equations of elasticity.,AERO-435,Aerospace Engineering
Global stiffness matrix.,AERO-435,Aerospace Engineering
Rayleigh-Ritz method.,AERO-435,Aerospace Engineering
Galerkin method.,AERO-435,Aerospace Engineering
Bernoulli-Euler beam element.,AERO-435,Aerospace Engineering
Finite element formulation.,AERO-435,Aerospace Engineering
Dynamic analysis.,AERO-435,Aerospace Engineering
Introduction to problem solving techniques and team-centered design projects in aerospace engineering.,AERO-215,Aerospace Engineering
Primary emphasis on the solutions of design problems in aerospace engineering using computers.,AERO-215,Aerospace Engineering
"Basics of heat transfer and approaches to problem solving, steady heat conduction, convection (forced and natural), heat exchanger design, shock waves and compressible flow in nozzles and diffusers (normal, oblique, expansion waves), thermal radiation and applications.",AERO-303,Aerospace Engineering
"Attitude determination and control of rigid spacecraft via reaction wheels, control moment gyros and thrusters.",AERO-560,Aerospace Engineering
"Modeling, analysis and control of flexible spacecraft.",AERO-560,Aerospace Engineering
Non-linear stability theory as applied to spacecraft.,AERO-560,Aerospace Engineering
Effects of the space environment on a spacecraft and design considerations.,AERO-356,Aerospace Engineering
Initial orbit determination using angles only methods.,AERO-557,Aerospace Engineering
Various Solutions to Lambert's Problem.,AERO-557,Aerospace Engineering
"Orbit and transfer optimization, libration points, halo orbits, and secondary orbit perturbations.",AERO-557,Aerospace Engineering
"Introduction to six degree of freedom rigid body dynamic and kinematic equations of motion, including coordinate transformations, Euler angles and quaternions for aerospace vehicles.",AERO-320,Aerospace Engineering
Linearization and dynamic system theory and stability.,AERO-320,Aerospace Engineering
"Introduction to linear control theory, controller design and analysis.",AERO-320,Aerospace Engineering
"Overview of flight tests, test equations, and supporting facilities.",AERO-409,Aerospace Engineering
"Principles of team-centered flight testing with applications to performance, stability and control, and avionics systems testing.",AERO-409,Aerospace Engineering
"Test planning, instrumentation, data analysis and reports.",AERO-409,Aerospace Engineering
Design of selected components and preparation of necessary drawings.,AERO-448,Aerospace Engineering
"Spacecraft missions, vehicle types, and applications.",AERO-546,Aerospace Engineering
Introduction and preliminary sizing of major subsystems of a space system.,AERO-546,Aerospace Engineering
"Introduction to and design drivers for space environments, propulsion system, power system, structural design, spacecraft dynamics and attitude control, orbit mechanics, thermal control, communications, and ground segments.",AERO-546,Aerospace Engineering
Directed group study of selected topics for graduate students.,AERO-570,Aerospace Engineering
Experiments require the integration of the many disciplines in Aerospace Engineering.,AERO-465,Aerospace Engineering
The successful completion of each experiment requires synthesis and integration of the fundamental concepts of the engineering sciences.,AERO-465,Aerospace Engineering
"Experimentation in the areas of aeroelasticity, active vibration control, inertial navigation, thermal control, hardware-in-the-loop simulation, and momentum exchange.",AERO-465,Aerospace Engineering
Immersive team-based approach to an aerodynamic research and development cycle.,AERO-568,Aerospace Engineering
"Theoretical work, preliminary design based upon computational fluid dynamics, and model manufacture.",AERO-568,Aerospace Engineering
Advanced techniques in multi-variable wind tunnel tests.,AERO-568,Aerospace Engineering
Validation of numerical work using correlation techniques.,AERO-568,Aerospace Engineering
"Properties of fluids, statics, mass/energy/momentum for aeronautical applications, external aerodynamics (lift and drag), dimensional analysis for scale testing, introduction to differential analysis and Navier-Stokes equations, basics of laminar and turbulent boundary layers.",AERO-302,Aerospace Engineering
Basic satellite types and their applications.,AERO-446,Aerospace Engineering
Major subsystems of a satellite system including ground support and launch systems.,AERO-446,Aerospace Engineering
Interactions between subsystems and their effects on the overall system design.,AERO-446,Aerospace Engineering
Detailed analysis of key subsystems on a spacecraft with special emphasis on power and communications subsystems.,AERO-446,Aerospace Engineering
"Relative orbital motion and rendezvous, linearization of the equations of motion.",AERO-452,Aerospace Engineering
Clohessy-Wiltshire equations.,AERO-452,Aerospace Engineering
Two-impulse rendezvous.,AERO-452,Aerospace Engineering
"Aspherocity of the earth, aerodynamic drag, solar radiation pressure, and n-body perturbations on an orbit.",AERO-452,Aerospace Engineering
"Encke, Cowell, and Variation of Parameters solution techniques.",AERO-452,Aerospace Engineering
"Speciality orbit due to perturbations such as low thrust trajectories, sun-synchronous, and molynia orbits.",AERO-452,Aerospace Engineering
"Electric propulsion operation, performance, selection and integration.",AERO-542,Aerospace Engineering
"Nuclear propulsion concepts, performance, and political and environmental concerns.",AERO-542,Aerospace Engineering
Propellant-less propulsion techniques.,AERO-542,Aerospace Engineering
Current state-of-the-art and developing technologies.,AERO-542,Aerospace Engineering
Introduction to spacecraft attitude dynamics and control.,AERO-421,Aerospace Engineering
Momentum exchange devices and bang-bang thruster control.,AERO-421,Aerospace Engineering
"Attitude determination (GPS), maneuvers and station keeping.",AERO-421,Aerospace Engineering
Fundamentals of guidance and navigation systems.,AERO-421,Aerospace Engineering
Analysis and design of control systems for aerospace vehicles.,AERO-421,Aerospace Engineering
Directed group study of selected topics for advanced students.,AERO-470,Aerospace Engineering
Vectors and tensors stress analysis.,AERO-515,Aerospace Engineering
Analysis of deformation.,AERO-515,Aerospace Engineering
Velocity fields and compatibility conditions.,AERO-515,Aerospace Engineering
Constitutive equations.,AERO-515,Aerospace Engineering
Isotropy.,AERO-515,Aerospace Engineering
Mechanical properties of real fluids and solids.,AERO-515,Aerospace Engineering
Field equations and boundary conditions in fluid mechanics problems and applications in elasticity.,AERO-515,Aerospace Engineering
Active remodeling of structures.,AERO-515,Aerospace Engineering
Overview of theoretical and applied methods of finite element analysis for aerospace structures including composite and light weight structures.,AERO-533,Aerospace Engineering
"Topics include basic equations of elasticity, solutions of linear systems of equations transformation, global stiffness matrix, Bernoulli-Euler element, plane stress triangles, finite element formulation, isoparametric elements, alternative formulation, eigenvalue problems and dynamic analysis.",AERO-533,Aerospace Engineering
Application of advanced analytic engineering methods to aircraft design problems.,AERO-565,Aerospace Engineering
Analysis and synthesis of advanced topics related to design of aircraft.,AERO-565,Aerospace Engineering
"Power plant types, components, characteristics, and requirements.",AERO-401,Aerospace Engineering
Principles of thrust and energy utilization.,AERO-401,Aerospace Engineering
"Thermodynamic processes and performance of turboprop, turboshaft, turbofan, turbojet, ramjet, and rocket engines.",AERO-401,Aerospace Engineering
Near planet environments.,AERO-407,Aerospace Engineering
Transition from orbital to aero-dynamic motion.,AERO-407,Aerospace Engineering
Aerodynamic heating and effects on design.,AERO-407,Aerospace Engineering
Behavior of composite materials.,AERO-532,Aerospace Engineering
"Bending, buckling, and vibration of laminated plates.",AERO-532,Aerospace Engineering
Fatigue and fracture mechanics analysis of composite structures.,AERO-532,Aerospace Engineering
Optimum design of composite pressure vessels.,AERO-532,Aerospace Engineering
Concept of boundary-layer.,AERO-522,Aerospace Engineering
"Boundary-layer equations, similarity transformation, integral and differential methods for steady, two-dimensional laminar and turbulent boundary layers.",AERO-522,Aerospace Engineering
Review of isotropic material behavior.,AERO-432,Aerospace Engineering
Behavior of unidirectional fiber composites.,AERO-432,Aerospace Engineering
Properties of short-fiber composites and orthotropic lamina.,AERO-432,Aerospace Engineering
Analysis of laminated composites.,AERO-432,Aerospace Engineering
Stresses and strains of composites.,AERO-432,Aerospace Engineering
Strength and hygrothermal behavior of composite materials.,AERO-432,Aerospace Engineering
Analytical and numerical methods for aerospace engineering problems.,AERO-300,Aerospace Engineering
"Topics include vector calculus, linear algebra, ordinary and partial differential equations, and Fourier transforms.",AERO-300,Aerospace Engineering
"Computer tools and numerical methods as applied to problems in aerodynamics, structures, stability and control and astronautics.",AERO-300,Aerospace Engineering
Newton's 6-degree-of-freedom equations of motion applied to aerospace vehicles.,AERO-420,Aerospace Engineering
"Stability and control derivatives, reference frames, steady-state and perturbed dynamic analyses applied to aerospace vehicles.",AERO-420,Aerospace Engineering
"Stability and control design principles applied to transfer functions, state-space, and modal system dynamics.",AERO-420,Aerospace Engineering
Deflection analysis.,AERO-331,Aerospace Engineering
"Principles of fictitious displacement, virtual work, and unit load method.",AERO-331,Aerospace Engineering
"Energy methods:  Castigliano's theorem, Maxwell-Betti reciprocal theorem, minimum principles, Rayleigh-Ritz's method and Galerkin's method.",AERO-331,Aerospace Engineering
Stress analysis of aircraft and spacecraft components.,AERO-331,Aerospace Engineering
Satellite thermal/fluid control hardware.,AERO-526,Aerospace Engineering
Governing equations for flow and heat transfer.,AERO-526,Aerospace Engineering
Surface tension and liquid/vapor interface.,AERO-526,Aerospace Engineering
"Heat transfer by free convection, forced convection and radiation in low-gravity environment.",AERO-526,Aerospace Engineering
Heat pipes.,AERO-526,Aerospace Engineering
Capillary-pumped loops.,AERO-526,Aerospace Engineering
Cryogenic systems.,AERO-526,Aerospace Engineering
Fluid management in space.,AERO-526,Aerospace Engineering
Introduction to the engineering profession including the aeronautical and aerospace fields.,AERO-121,Aerospace Engineering
Engineering approach to problem-solving and analysis of data obtained from experiments.,AERO-121,Aerospace Engineering
Basic nomenclature and design criteria used in the aerospace industry.,AERO-121,Aerospace Engineering
Applications to basic problems in the field.,AERO-121,Aerospace Engineering
"Thrust and impulse equations, propellant composition and mixture ratios, nozzle expansion ratios, solid and liquid propellant combustion, internal ballistics, thermo-chemical computations, chemical kinetics, and combustion instability, nozzle design and exhaust plumes.",AERO-540,Aerospace Engineering
"Topics on professional development for student success including resume building and career prospecting, current events in the aerospace industry, graduate studies, engineering ethics, intellectual property, non-disclosure agreements, teamwork, and innovation and entrepreneurship.",AERO-460,Aerospace Engineering
Computer system requirements for aerospace vehicles.,AERO-512,Aerospace Engineering
Typical aerospace vehicle computer architectures.,AERO-512,Aerospace Engineering
"Software testing, verification and validation.",AERO-512,Aerospace Engineering
Vehicle automatic systems.,AERO-512,Aerospace Engineering
Risks and benefits of vehicle autonomous operations.,AERO-512,Aerospace Engineering
Integration of software with vehicle subsystems.,AERO-512,Aerospace Engineering
Software development cost/schedule estimation.,AERO-512,Aerospace Engineering
Introduction to theoretical aerodynamics.,AERO-306,Aerospace Engineering
"Primary emphasis in the subsonic region, including compressibility effects.",AERO-306,Aerospace Engineering
"Basic aerodynamic theory:  Airfoil theory, wing theory, lift and drag.",AERO-306,Aerospace Engineering
Team-centered aerodynamic design.,AERO-306,Aerospace Engineering
Flight performance.,AERO-306,Aerospace Engineering
"Determination of system requirements and design of a flight vehicle, including its structures and systems.",AERO-443,Aerospace Engineering
"Preparation of necessary drawings, briefings, and reports.",AERO-443,Aerospace Engineering
The creative problem solving process for an engineering design team.,AERO-360,Aerospace Engineering
"How to explore context and causes as part of defining a design problem; the principles of brainstorming, synthesis, and judgment.",AERO-360,Aerospace Engineering
"Role of iteration, implementation, and communication.",AERO-360,Aerospace Engineering
"Importance of a diverse view, including:  customers, products, processes, systems, ethics, and professional responsibility.",AERO-360,Aerospace Engineering
Team-based applications to case studies and real-world engineering design problems.,AERO-360,Aerospace Engineering
Fundamentals of laminar boundary layers in the design of aircraft.,AERO-528,Aerospace Engineering
History and development of laminar flow aircraft.,AERO-528,Aerospace Engineering
Modern approaches to designing for laminar flow.,AERO-528,Aerospace Engineering
Analysis and testing of laminar flow designs and determination of practical limits for laminar flow application.,AERO-528,Aerospace Engineering
Systems engineering principles and methods applied to the design of aerospace systems.,AERO-350,Aerospace Engineering
"System-level requirements, user needs and stakeholder constraints, component-level requirements, and requirements breakdown structure.",AERO-350,Aerospace Engineering
Project planning and tracking.,AERO-350,Aerospace Engineering
Trade studies for design decision making.,AERO-350,Aerospace Engineering
Analysis and design applications for aircraft and spacecraft structures.,AERO-434,Aerospace Engineering
"Stress concentrations, fatigue, and fracture mechanics.",AERO-434,Aerospace Engineering
Structural dynamics.,AERO-434,Aerospace Engineering
"Framed structures, plates and shells.",AERO-434,Aerospace Engineering
Composite applications.,AERO-434,Aerospace Engineering
Motion of a body in a central field.,AERO-351,Aerospace Engineering
Keplerian Orbits.,AERO-351,Aerospace Engineering
Orbital maneuvers.,AERO-351,Aerospace Engineering
Interplanetary trajectories.,AERO-351,Aerospace Engineering
"Experiments in translational and rotational dynamics, structural, thermal, and flow control.",AERO-321,Aerospace Engineering
Comparison of modeling/simulation results to experimental data.,AERO-321,Aerospace Engineering
"Role of actuators, sensors, noise, feedback, and supporting instrumentation hardware and software.",AERO-321,Aerospace Engineering
Introduction to technical communication.,AERO-321,Aerospace Engineering
Continuation of AERO 568.,AERO-569,Aerospace Engineering
Single or multi-variable design optimization cycle based upon computational fluid dynamics.,AERO-569,Aerospace Engineering
"Numerical and experimental experimentation, high-fidelity validation and correlation of testing data, and archival-quality technical reporting of aerodynamic data and analysis.",AERO-569,Aerospace Engineering
Determination of system requirements and design of a spacecraft or system of spacecraft.,AERO-447,Aerospace Engineering
"Preparation of necessary drawings, briefings and reports.",AERO-447,Aerospace Engineering
Analysis of production and management strategies for major fruit and nut crops in California.,AEPS-133,Agricultural and Environmental Plant Sciences
Studies and exercises in the handling of European honey bees with special reference to pollination of commercial crops.,AEPS-175,Agricultural and Environmental Plant Sciences
Honey processing and marketing.,AEPS-175,Agricultural and Environmental Plant Sciences
Hive inspection and disease detection.,AEPS-175,Agricultural and Environmental Plant Sciences
"Discussions of disease development, effect of pathogens on plant function, breeding for disease resistance, plant defense mechanisms, epidemiology and disease management, diagnosis techniques, and career opportunities in the field of Plant Pathology.",AEPS-428,Agricultural and Environmental Plant Sciences
"Development, practices, history, and future of crop production in greenhouses.",AEPS-333,Agricultural and Environmental Plant Sciences
"Research applications, commercial applications, production problems, marketing, and economics.",AEPS-333,Agricultural and Environmental Plant Sciences
Special emphasis on growing transplants in greenhouses and use of nutrient solutions.,AEPS-333,Agricultural and Environmental Plant Sciences
Continuation of Senior Project development.,AEPS-462,Agricultural and Environmental Plant Sciences
Write-up of rough draft and formal draft of project.,AEPS-462,Agricultural and Environmental Plant Sciences
Completion of formal written report under advisor supervision.,AEPS-462,Agricultural and Environmental Plant Sciences
"Individual investigation, research, studies, or surveys of selected problems.",AEPS-400,Agricultural and Environmental Plant Sciences
"Aesthetic aspects of environmental horticulture, introduction to computer aided design, presentation techniques and garden history.",AEPS-127,Agricultural and Environmental Plant Sciences
"Design, construction techniques, and materials used in landscape and horticulture construction.",AEPS-126,Agricultural and Environmental Plant Sciences
"Material quantity estimating, sustainable building practices, construction material substitutions, tools and equipment associated with landscape and horticulture construction, and equipment safety.",AEPS-126,Agricultural and Environmental Plant Sciences
Ecological and physiological factors associated with the production of crop plants.,AEPS-410,Agricultural and Environmental Plant Sciences
Physiological and biochemical processes that elucidate the mechanisms of whole plant performance and responses to the environment.,AEPS-410,Agricultural and Environmental Plant Sciences
"Discussion of horticulture, field crop, and plant protection careers.",AEPS-101,Agricultural and Environmental Plant Sciences
"Examination of Department's curriculum, including its field, orchard and greenhouse operations.",AEPS-101,Agricultural and Environmental Plant Sciences
Introduction to student and professional organizations.,AEPS-101,Agricultural and Environmental Plant Sciences
Discussion of advising and academic resources.,AEPS-101,Agricultural and Environmental Plant Sciences
Beginning Spanish.,SPAN-111,Agricultural and Environmental Plant Sciences
"Class practice and assigned outside work in pronunciation, sentence structure, reading, writing, and conversation with special focus on vocabulary and culture from American agribusiness and the Hispanic cultures of the United States and Latin America.",SPAN-111,Agricultural and Environmental Plant Sciences
"Recognition, prevention and control of diseases, insect/mite pests and weeds that impact commercial ornamental plantings.",AEPS-427,Agricultural and Environmental Plant Sciences
"Integrated pest management strategies presented including biological, cultural, and safe and proper pesticidal controls.",AEPS-427,Agricultural and Environmental Plant Sciences
Principles of qualitative and quantitative genetics useful in the development of new plant varieties.,AEPS-304,Agricultural and Environmental Plant Sciences
"Procedures for the creation of genetic variability, testing procedures, and selection schemes for development of improved plant types.",AEPS-304,Agricultural and Environmental Plant Sciences
Advanced coverage of sustainable weed and invasive plant management technologies.,AEPS-406,Agricultural and Environmental Plant Sciences
"Concepts include environmental fates, plant metabolism, ecology and biology of weeds, and mechanisms of action of herbicides.",AEPS-406,Agricultural and Environmental Plant Sciences
Plant biotechnology as it relates to herbicide resistance in crops and weeds.,AEPS-406,Agricultural and Environmental Plant Sciences
"Individual investigation, research, studies, or surveys of selected problems.",AEPS-200,Agricultural and Environmental Plant Sciences
Practices in supervising personnel and applying standard techniques in landscape construction.,AEPS-332,Agricultural and Environmental Plant Sciences
Cost finding and estimating for landscape trades.,AEPS-332,Agricultural and Environmental Plant Sciences
"Hands-on experience in the production, management and marketing of a variety of hydroponically-grown, greenhouse vegetables.",AEPS-334,Agricultural and Environmental Plant Sciences
Selected Horticulture and Crop Science students will spend up to 12 weeks with an approved agricultural/horticultural firm engaged in production or related business.,AEPS-339,Agricultural and Environmental Plant Sciences
Time will be spent applying and developing production and managerial skills and abilities.,AEPS-339,Agricultural and Environmental Plant Sciences
Analysis of problems and practices affecting the contemporary commercial horticulturist.,AEPS-340,Agricultural and Environmental Plant Sciences
Analysis and operation of greenhouses and related equipment stressing the effect of environment on plant growth.,AEPS-340,Agricultural and Environmental Plant Sciences
Principal experimental designs used in agriculture and methods of statistical analysis of data collected from each.,AEPS-351,Agricultural and Environmental Plant Sciences
Statistical software.,AEPS-351,Agricultural and Environmental Plant Sciences
Field practice in planning and layout of typical experiments.,AEPS-351,Agricultural and Environmental Plant Sciences
Initial information research for project definition and development.,AEPS-461,Agricultural and Environmental Plant Sciences
Projects are typical of problems which graduates must solve in their fields of study or employment.,AEPS-461,Agricultural and Environmental Plant Sciences
Project results are presented in AEPS 462.,AEPS-461,Agricultural and Environmental Plant Sciences
Contract drawn up with approval of advisor.,AEPS-461,Agricultural and Environmental Plant Sciences
Beginning field experience in environmental horticulture.,AEPS-212,Agricultural and Environmental Plant Sciences
Selection and completion of a management/production project.,AEPS-212,Agricultural and Environmental Plant Sciences
Empirical application of the scientific method as it relates to the design and development of Senior Project.,AGB-460,Agricultural Business
Research plan is developed.,AGB-460,Agricultural Business
First quarter of individual Senior Project.,AGB-460,Agricultural Business
Orientation to the agribusiness sector of agriculture.,AGB-101,Agricultural Business
"An overview of the breadth, size, scope and management aspects of the agricultural business complex.",AGB-101,Agricultural Business
Concepts and analytical methods related to agricultural finance.,AGB-308,Agricultural Business
"Focus on applied spreadsheet analysis of financial statements, time value of money, risk and return, portfolio theory, and capital budgeting within the context of financial institutions specific to agriculture.",AGB-308,Agricultural Business
Completion of a project under faculty supervision.,AGB-461,Agricultural Business
"Research topics or projects typical of problems which graduates must solve in the agricultural, food and fiber industries.",AGB-461,Agricultural Business
Project results are presented in a formal report.,AGB-461,Agricultural Business
Development of agribusiness modeling techniques that are applied to solving a diverse and unique set of resource allocation issues encountered throughout the agricultural and food retail sectors.,AGB-328,Agricultural Business
"Techniques include linear programming, decision analysis, and computer simulations.",AGB-328,Agricultural Business
"Examines digital and multimedia communication methods of complex agricultural, food, and environmental sciences topics.",AGC-425,Agricultural Communication
Exploration and implementation of practices translating science issues to public audiences.,AGC-425,Agricultural Communication
Focuses on current campus-related scientific research endeavors using principles of digital storytelling and content creation.,AGC-425,Agricultural Communication
Students develop an understanding of agricultural policy and work in teams to develop a public presentation and position paper on a significant issue.,AG-452,Agricultural Communication
"Development, delivery and evaluation of effective means of communication by use of a variety of presentation methods and the use of technology for effective communication.",AGC-426,Agricultural Communication
Selected Agricultural Communication students will spend up to 12 weeks with an approved agricultural firm engaged in production or related business.,AGC-339,Agricultural Communication
Time will be spent applying and developing production and managerial skills and abilities.,AGC-339,Agricultural Communication
"Emphasis on software applications in agricultural communications, including basic Adobe Creative Suite techniques of InDesign and Lightroom, MS Word and Excel.",AGC-207,Agricultural Communication
Best practices in electronic delivery and print.,AGC-207,Agricultural Communication
"Adobe Premiere video, blog template usage and cloud collaboration for professional agricultural communications.",AGC-207,Agricultural Communication
