description,program
"Nutrition is the study of food, nutrients and their impact on health and well-being. Nutritionists focus on food from the chemistry to the cooking — from eating for wellness to prescribing diets for health and disease.",Nutrition
"Philosophy is the study of the fundamental questions of life, as well as the nature of knowledge, reality, and existence.",Philosophy
"If you have ever wondered scientifically, ""why"" something is the way it is, or ""how"" can something exist or behave the way it does, then you've entered the realm of physics. Physics is the most fundamental of all sciences, and is the study of nature that is all around us. Physicists try to understand the most basic laws that govern the behavior of nature.",Physics
"California produces nearly half of U.S.-grown fruits, nuts, vegetables, flowers and more. Agricultural and environmental plant scientists study how these plants grow and develop ways to improve quality and yield while preserving natural resources.",Plant Sciences
"Political science is the study and analysis of government, politics, law and policy.",Political Science
"Public health is concerned with promoting and protecting the health of people and the communities where they live, learn, work and play. The field works to track disease outbreaks, prevent injuries and determine why some people are more likely than others to experience poor health.",Public Health
"Psychology is the study of cognition, behavior and emotion and the relationships between these factors within both global and multicultural contexts. ",Psychology
"The recreation, parks and tourism administration program prepares you to embark on a career in the experience industry that includes experiential marketing, experience design, sport management, tourism, hospitality, destination management, outdoor recreation, adventure travel, and non-profit and community recreation.","Recreation, Parks, and Tourism Administration"
"Sociology is the scientific study of human society, investigating social life from interpersonal relationships to the rise and fall of nations. Sociologists examine how society shapes individual and group behavior and how individuals and groups interpret and change society.",Sociology
"Much of our modern-day world is controlled by software from items in our personal lives like cars, cell phones and computers, to more global areas such as medical devices, business systems or even national defense. Software engineers design, build and maintain the software used in these devices and more.",Software Engineering
"With an estimated 450 million Spanish speakers worldwide and growing Latinx populations in every state, advanced Spanish language skills and cultural competence are an asset.",Spanish
"Statistics is the science of collecting, organizing, analyzing and interpreting data using visualizations and models to help others make informed decisions. Statisticians find meaning in the data by looking at representative samples in order to make inferences about the whole. Statistics provides the foundation for data science and is important in many fields as different as retail sales, insurance and scientific research.",Statistics
"Theatre artists are collaborators, creative thinkers, and hard workers. Whether onstage or backstage, they portray the power and possibilities contained within stories.",Theatre Arts
"Wine and viticulture combines the study of cultivating wine grapes with the study of wines, winemaking and the wine business.",Wine and Viticulture
